"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"25/09/2024";"0000";"21,9";"22,1";"21,9";"82,0";"82,0";"78,0";"18,6";"18,6";"18,2";"1014,0";"1014,0";"1013,1";"2,3";"10,0";"5,2";"";"0,0"
"25/09/2024";"0100";"21,8";"21,9";"21,7";"81,0";"82,0";"81,0";"18,3";"18,6";"18,3";"1014,5";"1014,6";"1014,0";"1,3";"20,0";"5,2";"";"0,0"
"25/09/2024";"0200";"21,8";"21,8";"21,8";"81,0";"81,0";"80,0";"18,4";"18,4";"18,1";"1014,6";"1014,6";"1014,4";"1,2";"21,0";"4,2";"";"0,0"
"25/09/2024";"0300";"21,6";"21,8";"21,6";"85,0";"85,0";"81,0";"18,9";"18,9";"18,4";"1014,7";"1014,8";"1014,5";"1,2";"15,0";"4,3";"";"0,0"
"25/09/2024";"0400";"21,4";"21,6";"21,3";"85,0";"86,0";"85,0";"18,8";"19,0";"18,8";"1014,4";"1014,7";"1014,4";"1,3";"345,0";"5,0";"";"0,0"
"25/09/2024";"0500";"21,3";"21,4";"21,1";"83,0";"85,0";"83,0";"18,3";"18,8";"18,1";"1013,6";"1014,4";"1013,6";"1,3";"351,0";"3,9";"";"0,0"
"25/09/2024";"0600";"21,0";"21,4";"21,0";"85,0";"85,0";"83,0";"18,3";"18,5";"18,3";"1012,8";"1013,6";"1012,8";"0,9";"311,0";"3,0";"";"0,0"
"25/09/2024";"0700";"21,0";"21,2";"21,0";"84,0";"85,0";"82,0";"18,2";"18,3";"17,9";"1012,9";"1012,9";"1012,5";"0,6";"289,0";"2,9";"";"0,0"
"25/09/2024";"0800";"21,3";"21,3";"21,0";"80,0";"84,0";"79,0";"17,6";"18,2";"17,6";"1012,8";"1012,9";"1012,7";"0,3";"9,0";"2,0";"";"0,0"
"25/09/2024";"0900";"21,2";"21,4";"21,2";"82,0";"82,0";"79,0";"18,0";"18,0";"17,6";"1013,0";"1013,0";"1012,8";"0,5";"19,0";"2,9";"";"0,0"
"25/09/2024";"1000";"21,5";"21,5";"21,1";"81,0";"82,0";"80,0";"18,0";"18,0";"17,6";"1013,2";"1013,2";"1012,9";"2,0";"4,0";"4,8";"68,10";"0,0"
"25/09/2024";"1100";"21,7";"21,8";"21,5";"78,0";"81,0";"78,0";"17,7";"18,1";"17,7";"1014,0";"1014,0";"1013,2";"2,5";"355,0";"5,6";"396,60";"0,0"
"25/09/2024";"1200";"22,5";"22,5";"21,7";"75,0";"78,0";"74,0";"17,9";"17,9";"17,4";"1014,3";"1014,3";"1014,0";"2,2";"356,0";"6,1";"785,70";"0,0"
"25/09/2024";"1300";"23,2";"23,4";"22,4";"73,0";"76,0";"72,0";"18,2";"18,5";"17,7";"1013,6";"1014,3";"1013,6";"2,6";"6,0";"7,3";"1796,10";"0,0"
"25/09/2024";"1400";"24,0";"24,1";"23,1";"72,0";"74,0";"71,0";"18,6";"18,7";"17,9";"1012,7";"1013,6";"1012,7";"2,6";"12,0";"7,6";"2333,50";"0,0"
"25/09/2024";"1500";"24,6";"24,7";"23,8";"68,0";"72,0";"68,0";"18,2";"18,7";"18,2";"1011,7";"1012,7";"1011,7";"3,2";"22,0";"7,6";"2856,40";"0,0"
"25/09/2024";"1600";"24,6";"25,0";"24,3";"68,0";"70,0";"66,0";"18,4";"18,7";"18,2";"1010,3";"1011,7";"1010,3";"2,8";"10,0";"8,6";"2810,50";"0,0"
"25/09/2024";"1700";"24,6";"24,9";"24,6";"69,0";"69,0";"67,0";"18,5";"18,7";"18,2";"1009,1";"1010,3";"1009,1";"2,9";"7,0";"9,4";"2523,90";"0,0"
"25/09/2024";"1800";"24,1";"24,9";"24,1";"71,0";"71,0";"68,0";"18,5";"18,9";"18,3";"1009,0";"1009,3";"1008,9";"3,4";"22,0";"8,4";"2258,00";"0,0"
"25/09/2024";"1900";"23,9";"24,3";"23,9";"70,0";"71,0";"69,0";"18,2";"18,5";"18,0";"1009,7";"1009,7";"1009,0";"2,5";"34,0";"8,4";"1560,30";"0,0"
"25/09/2024";"2000";"23,5";"23,9";"23,4";"71,0";"72,0";"70,0";"18,0";"18,3";"17,9";"1010,3";"1010,3";"1009,7";"1,5";"18,0";"6,7";"796,20";"0,0"
"25/09/2024";"2100";"22,6";"23,5";"22,6";"75,0";"75,0";"71,0";"18,0";"18,2";"18,0";"1010,9";"1010,9";"1010,3";"1,6";"360,0";"4,5";"216,20";"0,0"
"25/09/2024";"2200";"22,5";"22,6";"22,4";"75,0";"75,0";"74,0";"17,8";"18,0";"17,7";"1011,5";"1011,5";"1010,8";"1,5";"360,0";"4,3";"2,90";"0,0"
"25/09/2024";"2300";"22,6";"22,6";"22,5";"77,0";"77,0";"75,0";"18,2";"18,2";"17,8";"1011,9";"1011,9";"1011,4";"1,0";"340,0";"3,1";"";"0,0"
