"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"25/09/2024";"0000";"30,9";"31,1";"30,1";"29,0";"31,0";"28,0";"10,8";"11,1";"10,5";"966,9";"966,9";"966,7";"3,1";"80,0";"5,6";"";"0,0"
"25/09/2024";"0100";"30,4";"31,2";"30,3";"31,0";"31,0";"28,0";"11,3";"11,3";"10,7";"967,3";"967,3";"966,9";"3,1";"80,0";"5,7";"";"0,0"
"25/09/2024";"0200";"30,1";"30,5";"29,8";"30,0";"31,0";"30,0";"10,6";"11,3";"10,6";"967,3";"967,3";"967,2";"3,4";"78,0";"5,8";"";"0,0"
"25/09/2024";"0300";"29,5";"30,1";"29,4";"32,0";"32,0";"30,0";"11,1";"11,2";"10,6";"967,2";"967,3";"967,2";"2,8";"77,0";"5,8";"";"0,0"
"25/09/2024";"0400";"29,5";"29,8";"29,2";"31,0";"33,0";"30,0";"10,4";"11,3";"10,4";"966,9";"967,2";"966,9";"3,4";"82,0";"5,6";"";"0,0"
"25/09/2024";"0500";"28,7";"29,7";"28,7";"31,0";"31,0";"29,0";"9,7";"10,4";"9,5";"966,4";"966,9";"966,4";"2,6";"69,0";"6,1";"";"0,0"
"25/09/2024";"0600";"27,7";"28,7";"26,9";"33,0";"35,0";"31,0";"9,8";"10,3";"9,7";"966,2";"966,4";"966,1";"2,8";"55,0";"5,0";"";"0,0"
"25/09/2024";"0700";"28,9";"28,9";"27,7";"28,0";"33,0";"28,0";"8,8";"9,9";"8,8";"966,1";"966,2";"966,1";"4,0";"51,0";"6,2";"";"0,0"
"25/09/2024";"0800";"27,0";"29,1";"26,8";"34,0";"34,0";"28,0";"9,7";"9,7";"8,7";"966,2";"966,2";"966,0";"1,9";"63,0";"6,2";"";"0,0"
"25/09/2024";"0900";"20,3";"27,1";"19,9";"62,0";"62,0";"33,0";"12,7";"12,8";"9,5";"967,0";"967,0";"966,2";"0,6";"308,0";"3,8";"";"0,0"
"25/09/2024";"1000";"20,6";"21,2";"20,1";"60,0";"64,0";"54,0";"12,4";"13,4";"11,2";"967,4";"967,5";"966,9";"0,3";"145,0";"2,5";"60,20";"0,0"
"25/09/2024";"1100";"25,1";"25,7";"20,6";"52,0";"61,0";"44,0";"14,5";"14,5";"11,7";"968,3";"968,3";"967,4";"0,5";"354,0";"1,1";"564,00";"0,0"
"25/09/2024";"1200";"30,4";"30,4";"25,0";"32,0";"52,0";"31,0";"11,8";"15,4";"10,9";"968,4";"968,4";"968,2";"2,5";"50,0";"4,9";"1344,70";"0,0"
"25/09/2024";"1300";"33,8";"33,8";"30,4";"26,0";"33,0";"26,0";"11,9";"12,4";"10,8";"968,3";"968,5";"968,2";"4,1";"45,0";"7,3";"2132,80";"0,0"
"25/09/2024";"1400";"36,5";"36,6";"33,2";"21,0";"26,0";"21,0";"10,9";"12,4";"10,6";"967,9";"968,3";"967,8";"5,5";"34,0";"9,5";"2757,30";"0,0"
"25/09/2024";"1500";"38,9";"39,0";"36,5";"17,0";"22,0";"17,0";"9,8";"11,8";"8,8";"967,4";"967,9";"967,3";"4,7";"33,0";"9,1";"3141,50";"0,0"
"25/09/2024";"1600";"40,2";"40,3";"38,9";"14,0";"18,0";"13,0";"7,2";"10,5";"6,6";"966,4";"967,5";"966,4";"4,7";"39,0";"8,8";"3262,00";"0,0"
"25/09/2024";"1700";"40,1";"40,9";"39,2";"17,0";"17,0";"14,0";"10,1";"10,7";"6,9";"965,2";"966,4";"965,2";"2,9";"31,0";"8,9";"3068,00";"0,0"
"25/09/2024";"1800";"40,5";"41,4";"40,1";"16,0";"17,0";"16,0";"10,1";"11,4";"9,5";"964,2";"965,3";"964,2";"3,1";"46,0";"8,3";"2605,30";"0,0"
"25/09/2024";"1900";"39,8";"41,0";"39,7";"17,0";"18,0";"16,0";"10,1";"11,2";"9,5";"963,8";"964,3";"963,6";"2,6";"22,0";"7,0";"1900,80";"0,0"
"25/09/2024";"2000";"39,5";"40,3";"39,3";"19,0";"19,0";"16,0";"11,7";"11,7";"9,8";"963,5";"963,8";"963,5";"1,3";"15,0";"5,8";"1105,20";"0,0"
"25/09/2024";"2100";"35,0";"39,5";"35,0";"29,0";"31,0";"19,0";"14,1";"16,2";"11,4";"963,7";"963,7";"963,5";"1,3";"53,0";"2,6";"433,30";"0,0"
"25/09/2024";"2200";"33,2";"35,0";"33,1";"33,0";"35,0";"28,0";"14,5";"16,0";"13,9";"964,1";"964,1";"963,7";"2,6";"87,0";"5,0";"24,60";"0,0"
"25/09/2024";"2300";"33,0";"33,3";"32,8";"32,0";"33,0";"31,0";"13,9";"14,6";"13,8";"964,9";"964,9";"964,1";"3,2";"83,0";"5,4";"";"0,0"
